,,Percentile
Non-Penalty Goals,0.59,99.0
npxG: Non-Penalty xG,0.37,94.0
Shots Total,2.51,71.0
Assists,0.19,57.0
xAG: Expected Assisted Goals,0.17,42.0
npxG + xAG,0.54,78.0
Shot-Creating Actions,4.53,75.0
,,
Passes Attempted,55.15,93.0
Pass Completion %,84.7%,98.0
Progressive Passes,7.70,99.0
Progressive Carries,3.72,64.0
Successful Take-Ons,2.79,86.0
Touches (Att Pen),4.47,64.0
Progressive Passes Rec,6.05,21.0
,,
Tackles,1.86,84.0
Interceptions,0.96,94.0
Blocks,1.89,99.0
Clearances,0.74,75.0
Aerials Won,0.90,78.0
